Food,Price/Serving,Calories,Fat,Carbohydrates,Protein
Pasta pomodoro,0.65,210,4.10,31,9
Riso con pollo,1.32,295,2.56,42.46,16
Riso ai funghi,2.61,312,4.5,45,4.5
Minestrone,0.45,80,1.5,20,2.5
Cous-Cous,1.56,250,6,45,20
Riso al tonno,1.38,310,2,65,21
Pasta con verdure,0.98,298,3,60,15
Gnocchi di patate,1.85,260,1.5,53,11
Pasta e ceci,1.1,196,6,28,8
Lasagne,2.45,350,14,46,16
Carbonara,2.8,370,13,56,22
Riso al salmone,1.32,231,6,40,12
Zuppa di zucca,0.64,60,0,14,2.5
Orata,2.9,283,11,13,26
Petto di pollo,0.95,220,3.5,0,38
Arrosto di vitello,1.61,251,15,5,24
Frittata,1.03,260,22,7,14
Branzino ,2.53,244,6,6,36
Polipo,2.3,190,6,6,25
Bresaola con rucola,3.50,280,5,8,36
Tacchino,2.6,350,19,2,36
Platessa,3.1,210,4.10,14,25
Agnello,1.87,310,16,8,20
Coniglio,1.12,100,2,4,16
Hamburger,2.8,340,18,10,37
Merluzzo,1.8,257,10,18,22
Prosciutto crudo,3.8,300,20,0,35
Parmigiana melanzane,2.15,100,2,10,8
Roast-beef,2.40,535,41,0,39
Insalata di tonno,2.65,167,6,4,19
Insalata di pollo,2.53,262,22,8,22
Pomodori ripieni,1.2,140,6,8,17
Insalata di mare,2.81,213,10,4,19
Pizza,1.51,360,6,65,14
Focaccia,1.32,320,6,61,13
Piadina farcita,1.61,291,12,34,19
Polenta,0.72,140,0,32,2.5
Insalata di farro,1.81,224,4,41,11
Pasta allo scoglio,2.43,266,4.10,24,26
Omelette al prosciutto,2.10,444,30,2,34
